Date,GDP Percent,AEI Index,House Equity Withdrawal Changes,Durable Goods Total,Household Savings Ratio Percent,Bank Rate Value,Claimant Count Rate,RPI Percent,House Price Index
1990-01,0.6,62.0,1848.0,11792.0,10.8,13.88,5.6,7.7,30.55
1990-02,0.5666666666666667,62.56666666666667,1848.0,11672.333333333334,10.200000000000001,13.88,5.6,7.5,30.55
1990-03,0.5333333333333333,63.13333333333333,1848.0,11552.666666666666,9.6,13.88,5.5,8.1,30.55
1990-04,0.5,63.7,2122.3333333333335,11433.0,9.0,13.88,5.4,9.4,30.28
1990-05,-0.033333333333333326,64.0,2396.6666666666665,11298.0,9.4,13.88,5.2,9.7,30.28
1990-06,-0.5666666666666667,64.3,2671.0,11163.0,9.799999999999999,13.88,5.2,9.8,30.28
1990-07,-1.1,64.6,2658.3333333333335,11028.0,10.2,13.88,5.4,9.8,30.83
1990-08,-0.8666666666666667,65.44999999999999,2645.6666666666665,11068.333333333334,10.633333333333333,13.88,5.5,10.6,30.83
1990-09,-0.6333333333333333,66.3,2633.0,11108.666666666666,11.066666666666666,13.88,5.6,10.9,30.83
1990-10,-0.4,66.55,2664.6666666666665,11149.0,11.5,13.88,5.5,10.9,30.37
1990-11,-0.3666666666666667,66.8,2696.3333333333335,11124.0,11.7,13.755,5.7,9.7,30.37
1990-12,-0.3333333333333333,67.05,2728.0,11099.0,11.9,13.63,6.1,9.3,30.37
1991-01,-0.3,67.3,2409.3333333333335,11074.0,12.1,13.505,6.6,9.0,29.94
1991-02,-0.23333333333333334,67.56666666666666,2090.6666666666665,11032.333333333334,11.799999999999999,13.38,6.8,8.9,29.94
1991-03,-0.16666666666666666,67.83333333333333,1772.0,10990.666666666666,11.5,12.38,7.2,8.2,29.94
1991-04,-0.1,68.1,2153.0,10949.0,11.2,11.88,7.4,6.4,29.82
1991-05,-0.13333333333333333,68.3,2534.0,11070.666666666666,11.966666666666667,11.38,7.4,5.8,29.82
1991-06,-0.16666666666666669,68.5,2915.0,11192.333333333334,12.733333333333333,11.13,7.5,5.8,29.82
1991-07,-0.2,68.7,2790.3333333333335,11314.0,13.5,10.88,7.9,5.5,30.4
1991-08,-0.06666666666666668,69.45,2665.6666666666665,11261.333333333334,13.4,10.63,8.2,4.7,30.4
1991-09,0.06666666666666665,70.2,2541.0,11208.666666666666,13.299999999999999,10.38,8.2,4.1,30.4
1991-10,0.2,70.65,2099.0,11156.0,13.2,10.3175,8.1,3.7,30.12
1991-11,0.13333333333333336,71.1,1657.0,11182.0,13.466666666666667,10.255,8.3,4.3,30.12
1991-12,0.06666666666666668,71.55,1215.0,11208.0,13.733333333333333,10.1925,8.5,4.5,30.12
1992-01,0.0,72.0,1159.3333333333333,11234.0,14.0,10.13,9.0,4.1,29.64
1992-02,-0.03333333333333333,71.76666666666667,1103.6666666666667,11337.333333333334,13.966666666666667,10.0675,9.1,4.1,29.64
1992-03,-0.06666666666666667,71.53333333333333,1048.0,11440.666666666666,13.933333333333334,10.005,9.1,4.0,29.64
1992-04,-0.1,71.3,1166.3333333333333,11544.0,13.9,9.9425,9.2,4.3,28.93
1992-05,0.1333333333333333,71.39999999999999,1284.6666666666667,11654.666666666666,13.933333333333334,9.88,9.1,4.3,28.93
1992-06,0.3666666666666666,71.5,1403.0,11765.333333333334,13.966666666666667,9.63,9.0,3.9,28.93
1992-07,0.6,71.6,1259.3333333333333,11876.0,14.0,9.38,9.3,3.7,29.02
1992-08,0.6333333333333333,72.25,1115.6666666666667,11807.333333333334,14.0,9.13,9.6,3.6,29.02
1992-09,0.6666666666666666,72.9,972.0,11738.666666666666,14.0,8.88,9.6,3.6,29.02
1992-10,0.7,73.025,55.0,11670.0,14.0,7.88,9.5,3.6,27.91
1992-11,0.7,73.15,-862.0,11812.0,13.7,6.88,9.6,3.0,27.91
1992-12,0.7,73.275,-1779.0,11954.0,13.4,6.38,10.0,2.6,27.91
1993-01,0.7,73.4,-1676.6666666666667,12096.0,13.1,5.88,10.4,1.7,28.05
1993-02,0.6333333333333333,73.4,-1574.3333333333333,12010.666666666666,13.533333333333333,5.83,10.3,1.8,28.05
1993-03,0.5666666666666667,73.4,-1472.0,11925.333333333334,13.966666666666667,5.78,10.1,1.9,28.05
1993-04,0.5,73.4,-1292.3333333333333,11840.0,14.4,5.7299999999999995,10.2,1.3,28.28
1993-05,0.6,73.46666666666667,-1112.6666666666667,12069.0,14.066666666666666,5.68,9.9,1.3,28.28
1993-06,0.7000000000000001,73.53333333333333,-933.0,12298.0,13.733333333333334,5.63,9.7,1.2,28.28
1993-07,0.8,73.6,-785.6666666666666,12527.0,13.4,5.58,9.9,1.4,28.88
1993-08,0.7666666666666667,74.15,-638.3333333333333,12437.333333333334,13.3,5.53,10.0,1.7,28.88
1993-09,0.7333333333333333,74.7,-491.0,12347.666666666666,13.2,5.4799999999999995,9.9,1.8,28.88
1993-10,0.7,75.175,-403.3333333333333,12258.0,13.1,5.43,9.5,1.4,28.34
1993-11,0.8666666666666666,75.65,-315.66666666666663,12434.0,12.633333333333333,5.38,9.4,1.4,28.34
